"ID";"SectorBranchesSIC2008";"Periods";"Employee_1";"EmployedPerson_2";"Employee_3";"EmployedPerson_4";"Total_5";"NetTurnover_6";"OtherRevenues_7";"Total_8";"Total_9";"Total_10";"InitialStockOfRawAndAuxiliaryMater_11";"PurchasedRawAndAuxiliaryMaterials_12";"ClosingStockRawAndAuxiliaryMat_13";"Total_14";"InitialStockOfCommodities_15";"PurchasedCommodities_16";"ClosingStockOfCommodities_17";"PaymentsToSubcontractors_18";"PurchaseValueNotElsewhereClassified_19";"Total_20";"GrossWagesAndSalaries_21";"Total_22";"EmployerPaidSocialInsurancePremiums_23";"OtherSocialInsuranceCosts_24";"PensionAndEarlyRetirementPremiums_25";"OtherPersonnelCosts_26";"Total_27";"CostsOfEnergyUse_28";"HousingCosts_29";"EquipmentAndInventoryCosts_30";"TransportCosts_31";"SalesCosts_32";"CommunicationCosts_33";"CostsOfOtherServices_34";"OtherLiabilities_35";"DepreciationFixedAssets_36";"OperatingResults_37";"NetFinancialIncome_38";"BalanceOfProvisions_39";"NetExtraordinaryIncome_40";"PreTaxResults_41"
"10";"303600";"2019JJ00";"    23.3";"    49.9";"    17.9";"    41.9";"    5813";"    5711";"     102";"    4870";"    2073";"    1143";"       .";"       .";"       .";"     506";"       .";"       .";"       .";"     376";"      48";"    1125";"     678";"     132";"     121";"      11";"      74";"     242";"    1319";"     171";"     123";"     336";"     196";"      60";"      18";"     157";"     259";"     353";"     942";"     -47";"       1";"      35";"     930"
"11";"303600";"2020JJ00";"    25.0";"    54.8";"    19.3";"    46.2";"    6161";"    6019";"     142";"    5141";"    2109";"    1128";"       .";"       .";"       .";"     552";"       .";"       .";"       .";"     375";"      54";"    1267";"     747";"     140";"     126";"      15";"      79";"     301";"    1333";"     175";"     135";"     361";"     211";"      52";"      17";"     207";"     174";"     433";"    1019";"     -64";"       1";"      42";"     998"
"12";"303600";"2021JJ00";"    24.8";"    57.1";"    19.7";"    49.2";"    6780";"    6643";"     137";"    5718";"    2437";"    1370";"       .";"       .";"       .";"     605";"       .";"       .";"       .";"     410";"      52";"    1334";"     786";"     137";"       .";"       .";"      82";"     329";"    1506";"     210";"     154";"     396";"     199";"      42";"      18";"     166";"     322";"     441";"    1062";"     -61";"      -1";"      57";"    1057"
"13";"305700";"2009JJ00";"     7.9";"    13.3";"     7.5";"    12.1";"   38394";"   37939";"     455";"   30829";"   21319";"     625";"      83";"     621";"      79";"   19249";"     156";"   19119";"      27";"     681";"     765";"    1023";"     537";"      57";"      48";"       8";"      96";"     333";"    7071";"      98";"      99";"     647";"     165";"      53";"      14";"     198";"    5799";"    1417";"    7565";"      10";"    -266";"    -114";"    7195"
"14";"305700";"2010JJ00";"     7.8";"    11.7";"     7.2";"    10.8";"   38625";"   38194";"     431";"   30973";"   20817";"     457";"      97";"     463";"     103";"   18986";"     132";"   18993";"     139";"     566";"     809";"     996";"     521";"      60";"      52";"       9";"      84";"     331";"    7748";"      78";"      78";"     485";"     123";"      52";"      13";"     260";"    6660";"    1411";"    7652";"    -204";"     -97";"     -86";"    7265"
"15";"305700";"2011JJ00";"     8.8";"    14.5";"     8.3";"    13.7";"   43038";"   42274";"     764";"   35355";"   23637";"     704";"      66";"     691";"      53";"   21435";"      21";"   21439";"      24";"     797";"     701";"    1127";"     610";"      68";"      61";"       7";"     118";"     332";"    8980";"      94";"      84";"     603";"     171";"      58";"      16";"     232";"    7723";"    1612";"    7683";"      53";"     -52";"      12";"    7696"
"16";"305700";"2012JJ00";"     9.2";"    15.4";"     8.6";"    14.6";"   49043";"   48173";"     870";"   40470";"   26170";"    1000";"     190";"     891";"      81";"   23513";"      16";"   23515";"      17";"     794";"     864";"    1275";"     661";"      77";"      69";"       8";"     123";"     415";"   11133";"     125";"      83";"     660";"     174";"      49";"      17";"     249";"    9775";"    1892";"    8573";"     -55";"     -57";"    -136";"    8325"
"17";"305700";"2013JJ00";"    10.6";"    15.5";"    10.1";"    14.9";"   51053";"   50244";"     809";"   42697";"   27463";"    1035";"     245";"     857";"      67";"   24369";"      17";"   24367";"      16";"     981";"    1078";"    1450";"     773";"     104";"      92";"      12";"     148";"     426";"   12116";"     151";"     103";"     747";"     184";"      38";"      16";"     230";"   10649";"    1668";"    8356";"     -22";"    -128";"    -463";"    7744"
"18";"305700";"2014JJ00";"    11.0";"    16.8";"    10.4";"    16.1";"   41570";"   41130";"     440";"   35173";"   23181";"    1267";"      52";"    1289";"      74";"   19624";"      24";"   19626";"      26";"    1081";"    1209";"    1509";"     834";"     123";"     101";"      22";"      49";"     503";"    8616";"     141";"     107";"     773";"     134";"      32";"      16";"     277";"    7137";"    1867";"    6397";"      91";"    -318";"    -390";"    5780"
"19";"305700";"2015JJ00";"    11.0";"    16.8";"    10.5";"    16.2";"   32665";"   32572";"      94";"   27703";"   18480";"    1259";"      72";"    1270";"      83";"   14866";"      20";"   14867";"      20";"    1146";"    1209";"    1710";"     950";"     130";"     113";"      17";"     125";"     506";"    5620";"     141";"     103";"     645";"     139";"      40";"      17";"     283";"    4252";"    1893";"    4962";"     -71";"    -576";"   -1591";"    2724"
"20";"305700";"2016JJ00";"    10.9";"    13.9";"    10.2";"    13.0";"   22426";"   22188";"     238";"   20373";"   13194";"    2165";"     112";"    2165";"     112";"    9917";"       9";"    9919";"      11";"     756";"     356";"    1383";"     842";"     112";"     101";"      11";"     106";"     323";"    3640";"     124";"      93";"     453";"     110";"      34";"      12";"     242";"    2572";"    2156";"    2053";"     130";"    -257";"    -348";"    1578"
"21";"305700";"2017JJ00";"     8.6";"    10.8";"     8.3";"    10.3";"   21257";"   20926";"     332";"   18449";"   12253";"    1826";"      90";"    1825";"      89";"    9773";"       5";"    9777";"       8";"     602";"      52";"    1147";"     673";"      97";"      81";"      16";"      77";"     300";"    3401";"     119";"      97";"     273";"      94";"      28";"      17";"     174";"    2600";"    1649";"    2808";"     -50";"    -284";"     -94";"    2379"
"22";"305700";"2018JJ00";"     8.5";"    10.8";"     7.9";"    10.1";"   22020";"   21749";"     271";"   18919";"   14088";"    2180";"     126";"    2189";"     135";"   11351";"       4";"   11464";"     117";"     483";"      74";"    1184";"     709";"      95";"      92";"       3";"      89";"     291";"    1963";"     118";"     104";"     488";"     100";"      31";"      11";"     176";"     935";"    1684";"    3101";"      37";"    -468";"    -285";"    2384"
"23";"305700";"2019JJ00";"     8.2";"    10.6";"     7.7";"     9.8";"   18036";"   17560";"     476";"   15579";"   11396";"    2075";"     107";"    2076";"     108";"    8975";"     115";"    8908";"      47";"     298";"      47";"    1164";"     704";"      94";"      89";"       5";"      74";"     292";"    1488";"     130";"      95";"     392";"     110";"      39";"      12";"     157";"     554";"    1532";"    2457";"    1587";"    -849";"    -166";"    3029"
"24";"305700";"2020JJ00";"     8.3";"    11.1";"     7.8";"    10.4";"   11902";"   11685";"     217";"   12567";"    8079";"     803";"     108";"     787";"      92";"    5639";"      56";"    5632";"      48";"    1571";"      65";"    1098";"     649";"      93";"      88";"       5";"      83";"     273";"    1814";"     115";"     106";"     360";"     177";"      26";"      12";"     159";"     860";"    1576";"    -665";"     -57";"     -89";"    -557";"   -1367"
"25";"305700";"2021JJ00";"     8.3";"    10.2";"     7.7";"     9.3";"   23891";"   23700";"     191";"   20700";"   16413";"     862";"      90";"     862";"      89";"   13241";"      48";"   13306";"     113";"    2249";"      61";"    1019";"     617";"      93";"       .";"       .";"      66";"     243";"    1930";"     150";"     107";"     364";"     181";"      20";"      12";"     161";"     935";"    1338";"    3192";"    1057";"   -1066";"    -157";"    3025"
"26";"300002";"2009JJ00";"   859.5";"   997.6";"   778.5";"   874.2";"  351156";"  341492";"    9664";"  326407";"  218031";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   46675";"       .";"       .";"       .";"       .";"       .";"       .";"   49708";"    6705";"    4159";"    5892";"    1962";"    4191";"     605";"    6869";"   19325";"   11992";"   24750";"       .";"       .";"       .";"   22237"
"27";"300002";"2010JJ00";"   859.5";"   987.9";"   773.3";"   874.0";"  370885";"  359183";"   11701";"  341360";"  229138";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   47432";"       .";"       .";"       .";"       .";"       .";"       .";"   52880";"    6094";"    4266";"    6201";"    1965";"    4408";"     588";"    7230";"   22128";"   11909";"   29525";"       .";"       .";"       .";"   30610"
"28";"300002";"2011JJ00";"   866.3";"   994.2";"   778.4";"   882.7";"  413166";"  401106";"   12063";"  383370";"  264040";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   50074";"       .";"       .";"       .";"       .";"       .";"       .";"   56192";"    6383";"    4494";"    6545";"    2195";"    4345";"     608";"    7672";"   23952";"   13065";"   29796";"       .";"       .";"       .";"   28621"
"29";"300002";"2012JJ00";"   843.2";"   974.1";"   758.2";"   865.1";"  426631";"  414971";"   11661";"  397128";"  275055";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   50296";"       .";"       .";"       .";"       .";"       .";"       .";"   58301";"    6818";"    4456";"    6443";"    2220";"    4168";"     602";"    7762";"   25833";"   13477";"   29504";"       .";"       .";"       .";"   25965"
"30";"300002";"2013JJ00";"   843.5";"   973.3";"   752.9";"   863.0";"  415442";"  404720";"   10721";"  387293";"  266760";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   50413";"       .";"       .";"       .";"       .";"       .";"       .";"   57155";"    7062";"    4429";"    6172";"    2133";"    4115";"     573";"    8008";"   24664";"   12965";"   28149";"       .";"       .";"       .";"   22397"
"31";"300002";"2014JJ00";"   836.4";"   970.2";"   749.1";"   860.5";"  423369";"  413840";"    9529";"  399304";"  269180";"  181775";"       .";"       .";"       .";"   72225";"       .";"       .";"       .";"   11100";"    4081";"   52043";"   34568";"    5220";"    4811";"     409";"    3720";"    8535";"   64767";"    6447";"    4545";"    6400";"    2099";"    4283";"     655";"    9108";"   31230";"   13314";"   24066";"    1291";"    -501";"   -2144";"   22711"
"32";"300002";"2015JJ00";"   824.9";"   964.8";"   740.4";"   861.4";"  409286";"  399847";"    9439";"  381759";"  250131";"  172177";"       .";"       .";"       .";"   63446";"       .";"       .";"       .";"   11360";"    3149";"   53227";"   35211";"    5189";"    4772";"     418";"    3854";"    8973";"   65519";"    6032";"    4594";"    6518";"    2229";"    4712";"     615";"   10234";"   30585";"   12882";"   27528";"    1220";"   -1245";"   -1295";"   26207"
"33";"300002";"2016JJ00";"   829.1";"   980.0";"   743.8";"   874.1";"  391042";"  380802";"   10240";"  362821";"  228004";"  162151";"       .";"       .";"       .";"   53257";"       .";"       .";"       .";"   10801";"    1795";"   53966";"   35527";"    5344";"    4934";"     410";"    3756";"    9338";"   67405";"    5120";"    4631";"    6397";"    1979";"    4890";"     591";"    9187";"   34610";"   13446";"   28222";"    1042";"    -573";"   -2579";"   26113"
"34";"300002";"2017JJ00";"   837.1";"   997.7";"   747.3";"   889.6";"  417957";"  408208";"    9748";"  387516";"  249030";"  177281";"       .";"       .";"       .";"   57747";"       .";"       .";"       .";"   12167";"    1835";"   55921";"   36354";"    5498";"    5065";"     433";"    3841";"   10229";"   69107";"    5560";"    4697";"    6565";"    2050";"    5608";"     612";"    9399";"   34617";"   13458";"   30440";"    2823";"    -841";"    -464";"   31958"
"35";"300002";"2018JJ00";"   853.2";"  1021.4";"   764.7";"   912.0";"  449431";"  439493";"    9938";"  418574";"  276681";"  193902";"       .";"       .";"       .";"   66371";"       .";"       .";"       .";"   14149";"    2259";"   59064";"   37860";"    5866";"    5442";"     425";"    4210";"   11127";"   68704";"    6349";"    4960";"    6956";"    2113";"    4941";"     539";"   10578";"   32267";"   14121";"   30858";"    1907";"    -634";"     804";"   32935"
"36";"300002";"2019JJ00";"   873.6";"  1041.8";"   777.4";"   925.5";"  443479";"  433809";"    9670";"  413051";"  274370";"  184505";"       .";"       .";"       .";"   69443";"       .";"       .";"       .";"   16507";"    3914";"   61350";"   39573";"    6234";"    5799";"     435";"    4335";"   11208";"   61748";"    5956";"    4956";"    5918";"    2722";"    4716";"     524";"   10903";"   26053";"   15590";"   30428";"    1805";"   -1473";"   -1213";"   29547"
"37";"300002";"2020JJ00";"   873.7";"  1041.8";"   776.0";"   924.9";"  407811";"  398499";"    9312";"  381614";"  245308";"  165263";"       .";"       .";"       .";"   61595";"       .";"       .";"       .";"   15735";"    2715";"   60987";"   39793";"    6186";"    5803";"     383";"    4465";"   10544";"   59001";"    5052";"    5011";"    5820";"    2739";"    3865";"     469";"   11079";"   24967";"   16317";"   26197";"    2902";"   -1100";"   -1872";"   26127"
"38";"300002";"2021JJ00";"   887.7";"  1072.1";"   789.4";"   949.7";"  478340";"  465990";"   12350";"  436235";"  297792";"  200488";"       .";"       .";"       .";"   76937";"       .";"       .";"       .";"   17866";"    2501";"   63653";"   41196";"    6075";"       .";"       .";"    4812";"   11569";"   58653";"    8765";"    5365";"    6358";"    2885";"    4140";"     475";"   12301";"   18363";"   16138";"   42105";"    9309";"   -3111";"     162";"   48465"
"39";"305800";"2009JJ00";"     2.9";"     4.0";"     2.7";"     3.8";"   35027";"   34602";"     425";"   27959";"   20014";"     100";"       0";"     100";"       0";"   18821";"       0";"   18821";"       0";"     389";"     704";"     479";"     231";"      16";"      13";"       3";"      71";"     161";"    6260";"      37";"      63";"     365";"      63";"      12";"       6";"     107";"    5606";"    1206";"    7068";"      17";"    -265";"     -71";"    6749"
"40";"305800";"2010JJ00";"     2.9";"     4.1";"     2.8";"     3.9";"   35240";"   34829";"     410";"   28154";"   19670";"      81";"       0";"      81";"       0";"   18705";"       0";"   18705";"       0";"     274";"     610";"     468";"     246";"      19";"      15";"       4";"      59";"     144";"    6823";"      41";"      56";"     132";"      41";"       8";"       4";"     107";"    6435";"    1193";"    7086";"    -143";"     -72";"     -36";"    6835"
"41";"305800";"2011JJ00";"     3.1";"     4.3";"     3.0";"     4.1";"   39326";"   38608";"     719";"   32139";"   22354";"     174";"       0";"     174";"       0";"   21114";"       0";"   21114";"       0";"     428";"     638";"     532";"     298";"      24";"      20";"       4";"      88";"     122";"    7884";"      42";"      57";"     197";"      56";"       7";"       5";"      67";"    7454";"    1369";"    7188";"     116";"     -40";"       4";"    7267"
"42";"305800";"2012JJ00";"     3.3";"     4.6";"     3.2";"     4.4";"   45140";"   44313";"     828";"   37224";"   24967";"     300";"       0";"     300";"       0";"   23367";"       0";"   23367";"       0";"     522";"     778";"     590";"     310";"      25";"      22";"       3";"      91";"     164";"   10016";"      73";"      58";"     199";"      64";"       5";"       7";"      94";"    9517";"    1651";"    7917";"     -21";"     -37";"     -72";"    7787"
"43";"305800";"2013JJ00";"     3.4";"     4.6";"     3.3";"     4.4";"   46586";"   45799";"     787";"   38863";"   25868";"     319";"       0";"     319";"       0";"   24220";"       0";"   24220";"       0";"     505";"     824";"     624";"     327";"      39";"      31";"       8";"      99";"     158";"   11013";"      99";"      63";"     214";"      62";"       5";"       6";"     134";"   10430";"    1358";"    7723";"      24";"    -109";"    -350";"    7289"
"44";"305800";"2014JJ00";"     3.7";"     4.8";"     3.5";"     4.6";"   36657";"   36242";"     415";"   30913";"   21126";"     399";"       0";"     422";"      23";"   19415";"       0";"   19415";"       0";"     344";"     968";"     674";"     356";"      36";"      31";"       5";"     102";"     179";"    7522";"      92";"      63";"     228";"      26";"       4";"       5";"     140";"    6966";"    1591";"    5744";"     121";"    -308";"    -364";"    5194"
"45";"305800";"2015JJ00";"     3.7";"     4.9";"     3.6";"     4.8";"   26637";"   26589";"      48";"   22568";"   15825";"     208";"      23";"     208";"      24";"   14651";"       0";"   14651";"       0";"      84";"     883";"     725";"     391";"      35";"      32";"       3";"      83";"     217";"    4554";"      95";"      58";"     168";"      20";"       4";"       5";"     169";"    4035";"    1464";"    4069";"      28";"    -563";"   -1625";"    1909"
"46";"305800";"2016JJ00";"     3.7";"     5.0";"     3.5";"     4.7";"   17714";"   17570";"     144";"   16035";"   10896";"    1095";"      24";"    1093";"      22";"    9766";"       0";"    9766";"       0";"      35";"       0";"     679";"     398";"      40";"      37";"       2";"      68";"     174";"    2722";"      85";"      55";"     148";"      32";"       7";"       6";"     141";"    2248";"    1738";"    1679";"     153";"    -231";"    -339";"    1263"
"47";"305800";"2017JJ00";"     3.1";"     4.2";"     3.0";"     4.0";"   17349";"   17077";"     273";"   15171";"   10568";"    1044";"      22";"    1040";"      19";"    9514";"       0";"    9514";"       0";"       8";"       2";"     625";"     331";"      41";"      31";"      10";"      49";"     204";"    2767";"      74";"      63";"     180";"      22";"       6";"       7";"      70";"    2346";"    1212";"    2178";"     -48";"    -285";"    -116";"    1730"
"48";"305800";"2018JJ00";"     2.9";"     4.0";"     2.8";"     3.9";"   18110";"   17882";"     228";"   15925";"   12570";"    1391";"      19";"    1387";"      15";"   11136";"       0";"   11248";"     112";"      13";"      30";"     634";"     344";"      35";"      34";"       1";"      59";"     196";"    1385";"      71";"      66";"     382";"      28";"       7";"       6";"      76";"     750";"    1336";"    2185";"     -42";"    -438";"     111";"    1816"
"49";"305800";"2019JJ00";"     2.8";"     3.9";"     2.7";"     3.7";"   14500";"   14087";"     412";"   12881";"   10018";"    1255";"      15";"    1253";"      13";"    8714";"     112";"    8646";"      45";"      13";"      36";"     634";"     344";"      31";"      30";"       1";"      45";"     215";"     922";"      79";"      57";"     280";"      29";"       9";"       7";"      65";"     395";"    1308";"    1619";"    1514";"    -825";"    -183";"    2125"
"50";"305800";"2020JJ00";"     2.8";"     3.8";"     2.7";"     3.6";"    8503";"    8356";"     147";"    9812";"    6698";"      23";"      13";"      21";"      11";"    5465";"      45";"    5450";"      30";"    1151";"      60";"     568";"     295";"      28";"      27";"       2";"      56";"     189";"    1204";"      67";"      68";"     254";"      39";"       5";"       7";"      61";"     703";"    1343";"   -1310";"     -82";"     -86";"    -352";"   -1829"
"51";"305800";"2021JJ00";"     2.4";"     3.2";"     2.3";"     3.1";"   20928";"   20810";"     118";"   17905";"   14948";"      41";"      16";"      33";"       8";"   13051";"      30";"   13117";"      96";"    1804";"      52";"     483";"     250";"      30";"       .";"       .";"      35";"     168";"    1351";"      90";"      67";"     261";"      45";"       5";"       8";"      66";"     810";"    1123";"    3023";"    1013";"    -843";"      70";"    3263"
"52";"306300";"2009JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"53";"306300";"2010JJ00";"     1.9";"     2.2";"     1.8";"     1.9";"    1012";"     996";"      16";"     874";"     504";"     333";"      83";"     338";"      87";"     155";"     118";"     161";"     124";"      12";"       4";"     118";"      82";"      11";"      11";"       1";"       9";"      17";"     207";"       .";"      10";"      59";"       .";"       8";"       2";"      36";"      36";"       .";"     138";"      -4";"     -17";"      -3";"     114"
"54";"306300";"2011JJ00";"     2.1";"     2.3";"     1.9";"     2.1";"    1202";"    1174";"      28";"    1093";"     640";"     394";"      52";"     380";"      37";"     229";"       8";"     233";"      11";"      14";"       2";"     132";"      97";"      12";"      11";"       1";"      10";"      13";"     264";"      49";"      14";"      72";"      22";"      13";"       3";"      40";"      54";"      57";"     110";"      -8";"      -4";"      -1";"      96"
"55";"306300";"2012JJ00";"     1.9";"     2.1";"     1.7";"     1.9";"    1034";"    1012";"      22";"     954";"     546";"     437";"      56";"     447";"      66";"      96";"       5";"      97";"       7";"      11";"       3";"     121";"      83";"      12";"      12";"       0";"       9";"      17";"     238";"      48";"      11";"      62";"      22";"      10";"       2";"      41";"      42";"      49";"      80";"      -7";"      -7";"       6";"      72"
"56";"306300";"2013JJ00";"     1.9";"     2.1";"     1.7";"     1.9";"     964";"     958";"       6";"     908";"     511";"     382";"      58";"     385";"      60";"      99";"       9";"      97";"       7";"      29";"       1";"     118";"      81";"      12";"      12";"       1";"      10";"      15";"     232";"      50";"      14";"      46";"      18";"       8";"       2";"      45";"      47";"      48";"      56";"      -4";"      -2";"       3";"      53"
"57";"306300";"2014JJ00";"     1.9";"     2.3";"     1.7";"     2.1";"    1038";"    1022";"      16";"     949";"     540";"     405";"      47";"     405";"      46";"      97";"      15";"      99";"      16";"      36";"       1";"     130";"      84";"      14";"      13";"       1";"       9";"      23";"     238";"      47";"      13";"      57";"      14";"       7";"       2";"      59";"      40";"      42";"      88";"      -5";"       0";"      -1";"      82"
"58";"306300";"2015JJ00";"     2.0";"     2.4";"     1.8";"     2.2";"    1158";"    1134";"      24";"    1068";"     624";"     448";"      43";"     458";"      54";"     122";"       8";"     120";"       6";"      48";"       7";"     141";"      92";"      15";"      14";"       1";"      11";"      24";"     239";"      44";"      17";"      52";"      18";"       9";"       3";"      56";"      42";"      63";"      91";"      -1";"      -1";"      -1";"      87"
"59";"306300";"2016JJ00";"     2.1";"     2.4";"     1.9";"     2.2";"    1236";"    1183";"      53";"    1136";"     708";"     568";"      80";"     564";"      76";"      92";"       2";"      92";"       3";"      47";"       1";"     144";"      96";"      15";"      14";"       1";"      10";"      24";"     226";"      38";"      12";"      49";"      12";"       9";"       1";"      57";"      48";"      57";"     100";"      -4";"      -1";"      18";"     113"
"60";"306300";"2017JJ00";"     2.3";"     2.6";"     2.2";"     2.4";"    1311";"    1291";"      20";"    1216";"     709";"     537";"      61";"     539";"      63";"     119";"       3";"     120";"       4";"      52";"       1";"     164";"     111";"      16";"      15";"       1";"      13";"      25";"     272";"      43";"      14";"      56";"      19";"       9";"       4";"      65";"      62";"      71";"      95";"       7";"      -2";"       3";"     103"
"61";"306300";"2018JJ00";"     2.4";"     2.9";"     2.2";"     2.6";"    1464";"    1434";"      31";"    1356";"     781";"     581";"      98";"     593";"     110";"      90";"       2";"      88";"       1";"      95";"      16";"     191";"     129";"      19";"      18";"       1";"      14";"      29";"     315";"      45";"      17";"      65";"      16";"      11";"       3";"      78";"      80";"      69";"     108";"       3";"     -29";"       5";"      87"
"62";"306300";"2019JJ00";"     2.5";"     3.0";"     2.3";"     2.6";"    1538";"    1500";"      38";"    1399";"     830";"     642";"      82";"     647";"      86";"     112";"       1";"     113";"       2";"      75";"       1";"     206";"     138";"      22";"      21";"       1";"      14";"      31";"     289";"      50";"      19";"      70";"      23";"      14";"       3";"      63";"      47";"      74";"     139";"       7";"     -24";"      -2";"     120"
"63";"306300";"2020JJ00";"     2.5";"     2.9";"     2.3";"     2.6";"    1510";"    1463";"      48";"    1420";"     849";"     688";"      86";"     674";"      72";"      79";"      10";"      86";"      17";"      81";"       2";"     207";"     139";"      19";"      19";"       0";"      14";"      35";"     301";"      46";"      23";"      72";"      21";"      10";"       2";"      61";"      65";"      63";"      91";"       6";"      -5";"       2";"      94"
