"ID";"FarmAnimals";"Periods";"Livestock_1"
"231";"A047790";"2018MM04";"       1"
"232";"A047790";"2018MM12";"       4"
"233";"A047790";"2019MM04";"       2"
"234";"A047790";"2019MM12";"       4"
"235";"A047790";"2020MM04";"       1"
"236";"A047790";"2020MM12";"       3"
"237";"A047790";"2021MM04";"       1"
"238";"A047790";"2021MM12";"       4"
"239";"A047790";"2022MM04";"       1"
"240";"A047790";"2022MM12";"       3"
"241";"A047790";"2023MM04";"       2"
"242";"A047791";"2018MM04";"      11"
"243";"A047791";"2018MM12";"      10"
"244";"A047791";"2019MM04";"      14"
"245";"A047791";"2019MM12";"      12"
"246";"A047791";"2020MM04";"      14"
"247";"A047791";"2020MM12";"      12"
"248";"A047791";"2021MM04";"      14"
"249";"A047791";"2021MM12";"      13"
"250";"A047791";"2022MM04";"      13"
"251";"A047791";"2022MM12";"      12"
"252";"A047791";"2023MM04";"      14"
"253";"A047785";"2018MM04";"      84"
"254";"A047785";"2018MM12";"     245"
"255";"A047785";"2019MM04";"     103"
"256";"A047785";"2019MM12";"     239"
"257";"A047785";"2020MM04";"      79"
"258";"A047785";"2020MM12";"     210"
"259";"A047785";"2021MM04";"      72"
"260";"A047785";"2021MM12";"     234"
"261";"A047785";"2022MM04";"      85"
"262";"A047785";"2022MM12";"     224"
"263";"A047785";"2023MM04";"      84"
"264";"A047786";"2018MM04";"     421"
"265";"A047786";"2018MM12";"     369"
"266";"A047786";"2019MM04";"     437"
"267";"A047786";"2019MM12";"     382"
"268";"A047786";"2020MM04";"     432"
"269";"A047786";"2020MM12";"     369"
"270";"A047786";"2021MM04";"     413"
"271";"A047786";"2021MM12";"     358"
"272";"A047786";"2022MM04";"     419"
"273";"A047786";"2022MM12";"     369"
"274";"A047786";"2023MM04";"     425"
"275";"A047787";"2018MM04";"      22"
"276";"A047787";"2018MM12";"      27"
"277";"A047787";"2019MM04";"      27"
"278";"A047787";"2019MM12";"      32"
"279";"A047787";"2020MM04";"      24"
"280";"A047787";"2020MM12";"      27"
"281";"A047787";"2021MM04";"      22"
"282";"A047787";"2021MM12";"      27"
"283";"A047787";"2022MM04";"      23"
"284";"A047787";"2022MM12";"      27"
"285";"A047787";"2023MM04";"      25"
"286";"A028985";"2018MM04";"     588"
"287";"A028985";"2018MM12";"     518"
"288";"A028985";"2019MM04";"     615"
"289";"A028985";"2019MM12";"     551"
"290";"A028985";"2020MM04";"     633"
"291";"A028985";"2020MM12";"     557"
"292";"A028985";"2021MM04";"     643"
"293";"A028985";"2021MM12";"     575"
"294";"A028985";"2022MM04";"     645"
"295";"A028985";"2022MM12";"     570"
"296";"A028985";"2023MM04";"     647"
"297";"A047772";"2018MM04";"     137"
"298";"A047772";"2018MM12";"      25"
"299";"A047772";"2019MM04";"     133"
"300";"A047772";"2019MM12";"      31"
"301";"A047772";"2020MM04";"     132"
"302";"A047772";"2020MM12";"      34"
"303";"A047772";"2021MM04";"     137"
"304";"A047772";"2021MM12";"      33"
"305";"A047772";"2022MM04";"     133"
"306";"A047772";"2022MM12";"      32"
"307";"A047772";"2023MM04";"     133"
"308";"A047777";"2018MM04";"      45"
"309";"A047777";"2018MM12";"     103"
"310";"A047777";"2019MM04";"      37"
"311";"A047777";"2019MM12";"      96"
"312";"A047777";"2020MM04";"      35"
"313";"A047777";"2020MM12";"      96"
"314";"A047777";"2021MM04";"      32"
"315";"A047777";"2021MM12";"     103"
"316";"A047777";"2022MM04";"      33"
"317";"A047777";"2022MM12";"      98"
"318";"A047777";"2023MM04";"      32"
"319";"A043995";"2018MM04";"     387"
"320";"A043995";"2018MM12";"     366"
"321";"A043995";"2019MM04";"     420"
"322";"A043995";"2019MM12";"     396"
"323";"A043995";"2020MM04";"     441"
"324";"A043995";"2020MM12";"     401"
"325";"A043995";"2021MM04";"     451"
"326";"A043995";"2021MM12";"     416"
"327";"A043995";"2022MM04";"     456"
"328";"A043995";"2022MM12";"     417"
"329";"A043995";"2023MM04";"     458"
"330";"A047784";"2018MM04";"       2"
"331";"A047784";"2018MM12";"       5"
"332";"A047784";"2019MM04";"       2"
"333";"A047784";"2019MM12";"       4"
"334";"A047784";"2020MM04";"       2"
"335";"A047784";"2020MM12";"       4"
"336";"A047784";"2021MM04";"       1"
"337";"A047784";"2021MM12";"       2"
"338";"A047784";"2022MM04";"       2"
"339";"A047784";"2022MM12";"       2"
"340";"A047784";"2023MM04";"       1"
"341";"A043997";"2018MM04";"       9"
"342";"A043997";"2018MM12";"       9"
"343";"A043997";"2019MM04";"      13"
"344";"A043997";"2019MM12";"      13"
"345";"A043997";"2020MM04";"      12"
"346";"A043997";"2020MM12";"      12"
"347";"A043997";"2021MM04";"      11"
"348";"A043997";"2021MM12";"      11"
"349";"A043997";"2022MM04";"      12"
"350";"A043997";"2022MM12";"      11"
"351";"A043997";"2023MM04";"      12"
"352";"A047767";"2018MM04";"       9"
"353";"A047767";"2018MM12";"      10"
"354";"A047767";"2019MM04";"      10"
"355";"A047767";"2019MM12";"      11"
"356";"A047767";"2020MM04";"      10"
"357";"A047767";"2020MM12";"      11"
"358";"A047767";"2021MM04";"      10"
"359";"A047767";"2021MM12";"      11"
"360";"A047767";"2022MM04";"      10"
"361";"A047767";"2022MM12";"      11"
"362";"A047767";"2023MM04";"      10"
"363";"A028996";"2018MM04";"   97792"
"364";"A028996";"2018MM12";"   94892"
"365";"A028996";"2019MM04";"   93963"
"366";"A028996";"2019MM12";"   92974"
"367";"A028996";"2020MM04";"   95153"
"368";"A028996";"2020MM12";"   87456"
"369";"A028996";"2021MM04";"   89508"
"370";"A028996";"2021MM12";"   89503"
"371";"A028996";"2022MM04";"   88372"
"372";"A028996";"2022MM12";"   83086"
"373";"A028996";"2023MM04";"       ."
"374";"A028997";"2018MM04";"   45773"
"375";"A028997";"2018MM12";"   43169"
"376";"A028997";"2019MM04";"   42609"
"377";"A028997";"2019MM12";"   41597"
"378";"A028997";"2020MM04";"   42015"
"379";"A028997";"2020MM12";"   42260"
"380";"A028997";"2021MM04";"   42442"
"381";"A028997";"2021MM12";"   41899"
"382";"A028997";"2022MM04";"   41334"
"383";"A028997";"2022MM12";"   40319"
"384";"A028997";"2023MM04";"       ."
"385";"A044003";"2018MM04";"   11209"
"386";"A044003";"2018MM12";"   10046"
"387";"A044003";"2019MM04";"    9804"
"388";"A044003";"2019MM12";"    9810"
"389";"A044003";"2020MM04";"   10784"
"390";"A044003";"2020MM12";"    9315"
"391";"A044003";"2021MM04";"   10109"
"392";"A044003";"2021MM12";"    8489"
"393";"A044003";"2022MM04";"    9224"
"394";"A044003";"2022MM12";"    8183"
"395";"A044003";"2023MM04";"       ."
"396";"A044004";"2018MM04";"   30565"
"397";"A044004";"2018MM12";"   30267"
"398";"A044004";"2019MM04";"   29423"
"399";"A044004";"2019MM12";"   29087"
"400";"A044004";"2020MM04";"   28192"
"401";"A044004";"2020MM12";"   31001"
"402";"A044004";"2021MM04";"   29431"
"403";"A044004";"2021MM12";"   30534"
"404";"A044004";"2022MM04";"   28005"
"405";"A044004";"2022MM12";"   28042"
"406";"A044004";"2023MM04";"       ."
"407";"A044005";"2018MM04";"    3999"
"408";"A044005";"2018MM12";"    2856"
"409";"A044005";"2019MM04";"    3382"
"410";"A044005";"2019MM12";"    2700"
"411";"A044005";"2020MM04";"    3039"
"412";"A044005";"2020MM12";"    1943"
"413";"A044005";"2021MM04";"    2902"
"414";"A044005";"2021MM12";"    2876"
"415";"A044005";"2022MM04";"    4105"
"416";"A044005";"2022MM12";"    4094"
"417";"A044005";"2023MM04";"       ."
"418";"A044006";"2018MM04";"    1380"
"419";"A044006";"2018MM12";"    1507"
"420";"A044006";"2019MM04";"    1574"
"421";"A044006";"2019MM12";"    1436"
"422";"A044006";"2020MM04";"    1422"
"423";"A044006";"2020MM12";"    1535"
"424";"A044006";"2021MM04";"    1765"
"425";"A044006";"2021MM12";"    1757"
"426";"A044006";"2022MM04";"    1834"
"427";"A044006";"2022MM12";"    1588"
"428";"A044006";"2023MM04";"       ."
"429";"A047778";"2018MM04";"     330"
"430";"A047778";"2018MM12";"     363"
"431";"A047778";"2019MM04";"     382"
"432";"A047778";"2019MM12";"     254"
"433";"A047778";"2020MM04";"     289"
"434";"A047778";"2020MM12";"     448"
"435";"A047778";"2021MM04";"     485"
"436";"A047778";"2021MM12";"     576"
"437";"A047778";"2022MM04";"     476"
"438";"A047778";"2022MM12";"     318"
"439";"A047778";"2023MM04";"       ."
"440";"A047779";"2018MM04";"    1050"
"441";"A047779";"2018MM12";"    1145"
"442";"A047779";"2019MM04";"    1192"
"443";"A047779";"2019MM12";"    1182"
"444";"A047779";"2020MM04";"    1133"
"445";"A047779";"2020MM12";"    1087"
"446";"A047779";"2021MM04";"    1280"
"447";"A047779";"2021MM12";"    1181"
"448";"A047779";"2022MM04";"    1358"
"449";"A047779";"2022MM12";"    1270"
"450";"A047779";"2023MM04";"       ."
"451";"A028999";"2018MM04";"   43188"
"452";"A028999";"2018MM12";"   42930"
"453";"A028999";"2019MM04";"   42617"
"454";"A028999";"2019MM12";"   42452"
"455";"A028999";"2020MM04";"   44325"
"456";"A028999";"2020MM12";"   36710"
"457";"A028999";"2021MM04";"   37928"
"458";"A028999";"2021MM12";"   38785"
"459";"A028999";"2022MM04";"   38160"
"460";"A028999";"2022MM12";"   34349"
"461";"A028999";"2023MM04";"       ."
"462";"A028998";"2018MM04";"    7451"
"463";"A028998";"2018MM12";"    7286"
"464";"A028998";"2019MM04";"    7163"
"465";"A028998";"2019MM12";"    7490"
"466";"A028998";"2020MM04";"    7391"
"467";"A028998";"2020MM12";"    6951"
"468";"A028998";"2021MM04";"    7373"
"469";"A028998";"2021MM12";"    7062"
"470";"A028998";"2022MM04";"    7045"
"471";"A028998";"2022MM12";"    6830"
"472";"A028998";"2023MM04";"       ."
"473";"A047780";"2018MM04";"    2775"
"474";"A047780";"2018MM12";"    2656"
"475";"A047780";"2019MM04";"    2544"
"476";"A047780";"2019MM12";"    3085"
"477";"A047780";"2020MM04";"    2664"
"478";"A047780";"2020MM12";"    2857"
"479";"A047780";"2021MM04";"    2710"
"480";"A047780";"2021MM12";"    2926"
"481";"A047780";"2022MM04";"    2595"
"482";"A047780";"2022MM12";"    2576"
"483";"A047780";"2023MM04";"       ."
"484";"A047781";"2018MM04";"    4677"
"485";"A047781";"2018MM12";"    4630"
"486";"A047781";"2019MM04";"    4620"
"487";"A047781";"2019MM12";"    4405"
"488";"A047781";"2020MM04";"    4727"
"489";"A047781";"2020MM12";"    4094"
"490";"A047781";"2021MM04";"    4663"
"491";"A047781";"2021MM12";"    4137"
"492";"A047781";"2022MM04";"    4450"
"493";"A047781";"2022MM12";"    4254"
"494";"A047781";"2023MM04";"       ."
"495";"A029000";"2018MM04";"     872"
"496";"A029000";"2018MM12";"     861"
"497";"A029000";"2019MM04";"     920"
"498";"A029000";"2019MM12";"     763"
"499";"A029000";"2020MM04";"     712"
"500";"A029000";"2020MM12";"     680"
"501";"A029000";"2021MM04";"     568"
"502";"A029000";"2021MM12";"     722"
"503";"A029000";"2022MM04";"     607"
"504";"A029000";"2022MM12";"     546"
"505";"A029000";"2023MM04";"       ."
"506";"A029001";"2018MM04";"     556"
"507";"A029001";"2018MM12";"     578"
"508";"A029001";"2019MM04";"     532"
"509";"A029001";"2019MM12";"     607"
"510";"A029001";"2020MM04";"     566"
"511";"A029001";"2020MM12";"     573"
"512";"A029001";"2021MM04";"     589"
"513";"A029001";"2021MM12";"     601"
"514";"A029001";"2022MM04";"     474"
"515";"A029001";"2022MM12";"     337"
"516";"A029001";"2023MM04";"       ."
"517";"A028991";"2018MM04";"   12391"
"518";"A028991";"2018MM12";"   11909"
"519";"A028991";"2019MM04";"   12214"
"520";"A028991";"2019MM12";"   11921"
"521";"A028991";"2020MM04";"   11860"
"522";"A028991";"2020MM12";"   11541"
"523";"A028991";"2021MM04";"   11372"
"524";"A028991";"2021MM12";"   10872"
"525";"A028991";"2022MM04";"   11235"
"526";"A028991";"2022MM12";"   10706"
"527";"A028991";"2023MM04";"   10881"
"528";"A044023";"2018MM04";"    2202"
"529";"A044023";"2018MM12";"    1888"
"530";"A044023";"2019MM04";"    2174"
"531";"A044023";"2019MM12";"    1910"
"532";"A044023";"2020MM04";"    2118"
"533";"A044023";"2020MM12";"    1850"
"534";"A044023";"2021MM04";"    1978"
"535";"A044023";"2021MM12";"    1766"
"536";"A044023";"2022MM04";"    1984"
"537";"A044023";"2022MM12";"    1735"
"538";"A044023";"2023MM04";"    1969"
"539";"A047773";"2018MM04";"    5265"
"540";"A047773";"2018MM12";"    5015"
"541";"A047773";"2019MM04";"    5168"
"542";"A047773";"2019MM12";"    4796"
"543";"A047773";"2020MM04";"    5016"
"544";"A047773";"2020MM12";"    4718"
"545";"A047773";"2021MM04";"    4819"
"546";"A047773";"2021MM12";"    4556"
"547";"A047773";"2022MM04";"    4747"
"548";"A047773";"2022MM12";"    4252"
"549";"A047773";"2023MM04";"    4568"
"550";"A044019";"2018MM04";"    3865"
"551";"A044019";"2018MM12";"    4032"
"552";"A044019";"2019MM04";"    3853"
"553";"A044019";"2019MM12";"    4163"
"554";"A044019";"2020MM04";"    3719"
"555";"A044019";"2020MM12";"    4045"
"556";"A044019";"2021MM04";"    3630"
"557";"A044019";"2021MM12";"    3632"
"558";"A044019";"2022MM04";"    3578"
"559";"A044019";"2022MM12";"    3827"
"560";"A044019";"2023MM04";"    3455"
"561";"A044020";"2018MM04";"    1745"
"562";"A044020";"2018MM12";"    1666"
"563";"A044020";"2019MM04";"    1725"
"564";"A044020";"2019MM12";"    1755"
"565";"A044020";"2020MM04";"    1651"
"566";"A044020";"2020MM12";"    1731"
"567";"A044020";"2021MM04";"    1590"
"568";"A044020";"2021MM12";"    1587"
"569";"A044020";"2022MM04";"    1551"
"570";"A044020";"2022MM12";"    1630"
"571";"A044020";"2023MM04";"    1506"
"572";"A044021";"2018MM04";"    1649"
"573";"A044021";"2018MM12";"    1679"
"574";"A044021";"2019MM04";"    1655"
"575";"A044021";"2019MM12";"    1743"
"576";"A044021";"2020MM04";"    1564"
"577";"A044021";"2020MM12";"    1653"
"578";"A044021";"2021MM04";"    1510"
"579";"A044021";"2021MM12";"    1439"
"580";"A044021";"2022MM04";"    1492"
"581";"A044021";"2022MM12";"    1559"
"582";"A044021";"2023MM04";"    1447"
"583";"A044022";"2018MM04";"     472"
"584";"A044022";"2018MM12";"     687"
"585";"A044022";"2019MM04";"     474"
"586";"A044022";"2019MM12";"     666"
"587";"A044022";"2020MM04";"     504"
"588";"A044022";"2020MM12";"     661"
"589";"A044022";"2021MM04";"     530"
"590";"A044022";"2021MM12";"     606"
"591";"A044022";"2022MM04";"     535"
"592";"A044022";"2022MM12";"     637"
"593";"A044022";"2023MM04";"     502"
"594";"A047768";"2018MM04";"    1059"
"595";"A047768";"2018MM12";"     974"
"596";"A047768";"2019MM04";"    1018"
"597";"A047768";"2019MM12";"    1052"
"598";"A047768";"2020MM04";"    1008"
"599";"A047768";"2020MM12";"     929"
"600";"A047768";"2021MM04";"     945"
"601";"A047768";"2021MM12";"     918"
"602";"A047768";"2022MM04";"     926"
"603";"A047768";"2022MM12";"     892"
"604";"A047768";"2023MM04";"     889"
"605";"A044013";"2018MM04";"     695"
"606";"A044013";"2018MM12";"     640"
"607";"A044013";"2019MM04";"     673"
"608";"A044013";"2019MM12";"     661"
"609";"A044013";"2020MM04";"     662"
"610";"A044013";"2020MM12";"     580"
"611";"A044013";"2021MM04";"     615"
"612";"A044013";"2021MM12";"     567"
"613";"A044013";"2022MM04";"     594"
"614";"A044013";"2022MM12";"     561"
"615";"A044013";"2023MM04";"     570"
"616";"A044014";"2018MM04";"     178"
"617";"A044014";"2018MM12";"     153"
"618";"A044014";"2019MM04";"     173"
"619";"A044014";"2019MM12";"     159"
"620";"A044014";"2020MM04";"     169"
"621";"A044014";"2020MM12";"     151"
"622";"A044014";"2021MM04";"     155"
"623";"A044014";"2021MM12";"     148"
"624";"A044014";"2022MM04";"     155"
"625";"A044014";"2022MM12";"     138"
"626";"A044014";"2023MM04";"     152"
"627";"A047774";"2018MM04";"     128"
"628";"A047774";"2018MM12";"     134"
"629";"A047774";"2019MM04";"     122"
"630";"A047774";"2019MM12";"     160"
"631";"A047774";"2020MM04";"     130"
"632";"A047774";"2020MM12";"     152"
"633";"A047774";"2021MM04";"     127"
"634";"A047774";"2021MM12";"     145"
"635";"A047774";"2022MM04";"     132"
"636";"A047774";"2022MM12";"     147"
"637";"A047774";"2023MM04";"     123"
"638";"A047783";"2018MM04";"      58"
"639";"A047783";"2018MM12";"      47"
"640";"A047783";"2019MM04";"      50"
"641";"A047783";"2019MM12";"      72"
"642";"A047783";"2020MM04";"      47"
"643";"A047783";"2020MM12";"      46"
"644";"A047783";"2021MM04";"      47"
"645";"A047783";"2021MM12";"      58"
"646";"A047783";"2022MM04";"      44"
"647";"A047783";"2022MM12";"      46"
"648";"A047783";"2023MM04";"      43"
