,setting,system_pair,dataset,alignment_score
70,context/soft,ChatGPTvsGoogleGemini,Education_expenditure_and_indicators.csv,0.0016666666666666666
71,context/soft,ChatGPTvsGoogleGemini,Health_expectancy.csv,0.007857142857142858
72,context/soft,ChatGPTvsGoogleGemini,Listed_monuments.csv,-0.005
73,context/soft,ChatGPTvsGoogleGemini,Livestock.csv,-0.005
74,context/soft,ChatGPTvsGoogleGemini,Milk_supply_and_dairy_production.csv,0.005909090909090909
75,context/soft,ChatGPTvsGoogleGemini,Mobility.csv,0.0
76,context/soft,ChatGPTvsGoogleGemini,Plant_protection_products.csv,-0.005
77,context/soft,ChatGPTvsGoogleGemini,Population_dynamics.csv,0.005
78,context/soft,ChatGPTvsGoogleGemini,Social_security.csv,0.0076315789473684215
79,context/soft,ChatGPTvsGoogleGemini,Trade_and_industry.csv,0.0002941176470588235
