Label,Definition
Life-long/continuing education,"Refers to educational opportunities in varied forms provided for adults after they have left the formal education system. Adults may engage in such education to, for instance, improve their skills or qualifications, to retrain for a new line of work, or just to learn something new. Does not generally include education leading to a qualification, or employee training."
Vocational education and training,"Programmes that are designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation, trade or class of occupations or trades. Vocational education may have work-based components. Covers vocational education at ISCED levels 3-4 and apprenticeships. Includes data on students, teachers, subjects or skills taught, facilities etc."
Diet and nutrition,"Nutritional processes, eating patterns and practices, and measurable nutritional parameters such as body mass index (BMI), weight, vitamin levels."
"Drug abuse, alcohol and smoking","Data on drug and other substance abuse. Data on smoking and drinking habits. Use note: For data covering medicinal use of recreational drugs (such as medicinal use of cannabis), use 'Medication and treatment'."
General health and well-being,"Data on the general well-being or health status of an individual, group or population. May be objectively measured/observed or self-perceived. Well-being includes, for instance, physical and mental capacity or state, as well as social state."
Health care services and policies,"Quality and availability of services, associated facilities and personnel within health care. Health care economy and policy decisions and principles at national, regional or local level regarding health care. Use note: For laws and regulations already implemented, use the topic 'Legislation and legal systems' as well."
Medication and treatment,"Treatment of disease, or procedure/s of preventing it. Patient care at individual level. Research on medication and treatment of a disease. Data on, for instance, surgical procedures, rehabilitation, doctor consultation, physical therapy, musculoskeletal manipulations, care in hospital or home, psychotherapy, investigative techniques, medication."
Occupational health,"Data on occupational exposures and diseases, occupational safety, sick leave, work ability and disability, or work-related disability pension."
Physical fitness and exercise,"Data on people's general level of fitness, physical activity and exercise they take."
Public health,"Prevention and control of disease and disability, and the promotion of physical and mental health of the population on the international, national, state, or municipal level. For instance, health promotion, disease prevention, impact of public health programmes, managing local, national or global health issues, epidemiology of a disease, condition, or pathogen, or disease outbreak."
Reproductive health,"Reproductive process, function or system at any stage of life. Includes data on pregnancy, birth, family planning, contraception, abortion and menopause."
Signs and symptoms; pathological conditions,"Data on abnormal anatomical or physiological conditions, and objective or subjective manifestations of disease/symptoms, not classified as disease or syndrome (in which case 'Specific diseases, disorders or medical conditions' would be used). Includes clinical manifestations that can be objective when observed by a medical professional or subjective when perceived by the patient. E.g. pain, diarrhoea, rash, leg length inequality, insomnia, teeth grinding, inflammation, arrhythmia."
"Specific diseases, disorders and medical conditions","Data on specific, diagnosed diseases, disorders or syndromes (often classified in ICD-10 or its earlier versions). For example, medical research on infectious diseases or the causes of diabetes, or data on the physical and mental recovery of people who have had heart surgery."
Wounds and injuries,"Wounds and injuries, both physical and psychological, caused either by accidents or violence (through individual or group aggressive behaviour). Use note: If work-related wounds or injuries, use 'Occupational health'."
Housing,"Includes data measuring the standard of housing in a community, including social housing, as well as the availability and pricing of housing. Housing includes homes, second homes and holiday homes."
Land use and planning,Includes both land use and land use planning. Land use planning refers to procedures carried out to ensure an optimal and sustainable use of land resources in rural and urban communities.
Employee training,"Internal corporate training and other employee training funded by the employer to increase employee skills and competence. Use note: Does not include apprenticeships, which are included in 'Vocational education and training'."
Employment,"Data on employment rate and statistics, labour market, job vacancies, job-seeking, job characteristics, employment of certain groups (e.g. youth or minority employment), employment services, career. Use note: For pay and remuneration use 'Working conditions'."
Labour and employment policy,"Data on employment policies relating to employment relations, the labour market and equality and discrimination at work; at national level policies include influencing the demand and supply of labour and the functioning of labour markets. Use note: For laws and regulations already implemented, use the topic 'Legislation and legal systems' as well."
Labour relations/conflict,Relations between employers and employees.
Retirement,"Includes all patterns of retirement such as phased or flexible retirement, data on retirement age and early retirement."
Unemployment,"Data on unemployment rates and statistics, employment programmes and schemes, duration and frequency of unemployment, social and psychological impact of unemployment etc."
Working conditions,"The conditions under which employees work. For example, types of contract, working time (hours of work, rest periods, work schedules, overtime), pay and remuneration, physical aspects and mental demands of work, employee rights and responsibilities, workload, employee involvement in decision-making, leave entitlements, physical environment. Use note: For workplace safety issues, use also 'Occupational health'."
Crime and law enforcement,"Data on crime, crime prevention, victims of crime, criminals, as well the police, secret service, correctional institutions (e.g. prisons, young people's correctional institutions), border control and customs. Also includes data on the staff and facilities of these agencies."
Legislation and legal systems,"Data on international or national legislation, administrative regulations, judiciary system (powers and activities of courts), alternative dispute resolution and restorative justice, punishments."
Information society,"The creation, distribution, use, integration and manipulation of information as a significant economic, political, and cultural activity. For instance, data relating to e-commerce, e-government, social media, mobile devices, access to and use of the Internet, e-privacy, information and library resources. Use note: For data on the actual technologies, use 'Information technology'."
Language and linguistics,"Data from linguistic studies, linguistic analysis and sociolinguistics, as well as data on language policies, people's language skills, languages spoken at work and at home, attitudes towards minority languages etc."
Media,"Data referring to any type of mass media. For example, printed or online newspapers, magazines, television and the radio. Use note: Social media are indexed with 'Information society'."
Public relations,"Measures adopted to enhance or preserve the image of individuals, companies, organisations, and governments for example by means of advertising, lobbying etc."
Energy and natural resources,"Natural resources are assets such as land, forests, energy sources, water, minerals which exist naturally and can be used for economic production or consumption. Energy resources include fossil fuels such as oil, natural gas or coal, as well as nuclear, solar, tidal and wind or from living organisms that can be replaced."
Environment and conservation,"Covers issues of environmental degradation, pollution, environmental protection, climate change, flood prevention, soil erosion."
Natural landscapes,Covers landscapes and elements of land that have not been directly changed by humans.
Plants and animals,"Covers domesticated, production and wild animals, as well as all types of plants (e.g. flowers, trees, moss, vegetables)."
"Conflict, security and peace",Internal and international security and safety; internal and international conflicts; war and peace; national defence and defence forces (the army). Use note: The police are covered by 'Crime and law enforcement'.
Elections,"Data on elections, referendums, election campaigns, election results, candidates in elections, candidate selectors, election funding etc."
"Government, political systems and organisations","Issues relating to national, regional and local government, governing bodies (e.g. the Government, Parliament, local government bodies), public administration, other political organisations such as political parties. For example, data on government policies, political parties and their policies, political party leaders, trust in government bodies."
International politics and organisations,"Global governance, diplomacy, foreign policy, relations between countries, international organisations (e.g. the EU, WHO, UN, WTO), and international agreements."
Political behaviour and attitudes,"Data on party political attitudes, political engagement and participation in the political process, voting behaviour, satisfaction with government. Use note: For data on specific political doctrines, use 'Political ideology'."
Political ideology,"Ideas, ideals and theories on the ways governments and societies can be organised. Major political ideologies include anarchism, democracy, liberalism, conservatism etc."
Biotechnology,Data referring to the use of biomolecular and cellular processes to create new products and technological processes.
Information technology,"Information and communication technologies that are used in the home, workplace and other community setting. Use note: The use and impact of these technologies are covered by 'Information society'."
Children,"Use note: May need an additional topic, if children are studied from a particular aspect."
Elderly,"Use note: May need an additional topic, if the elderly are studied from a particular aspect."
Elites and leadership,"Issues related to the existence, roles and impact of elites in society, that is, individuals or groups who have a large amount of power or influence over society, politics, wealth etc, either through decisions they make or, for example, through ideas or feelings that they express or represent. Includes issues related to influential people in all spheres of society, for example, decision-makers in political life, political party leaders, influential artists, prominent mass or social media figures etc."
"Equality, inequality and social exclusion","Issues relating to whether all individuals or groups of individuals have the same status and opportunities in society. Equality can be studied, for example, in terms of education, (financial) assets or income, occupational position, power, prestige, conditions of work and leisure time, access to services, and social relations. Marginalisation and social exclusion can be the result of systematic disadvantage in multiple areas of life, and people concerned may be deprived of rights, opportunities, resources and social integration. Examples of data: statistics on income equality; perceived group-focused discrimination (e.g. towards foreigners, the homeless, asylum seekers); perceived differences between men and women regarding opportunities for leading roles in politics; impact of parental unemployment on children's education level and social networks."
Family life and marriage,"Covers issues related to families, relatives, generations and household composition. For instance, data on child rearing, division of labour within the family, support provided for family members."
Gender and gender roles,"Gender identity; gendered representation (e.g. representation of genders in decision-making bodies, in media, in literature etc); social, cultural and psychological traits linked to males and females; women's studies; men's studies; expected behaviour and choices according to gender roles and the impact of such expectations."
Minorities,"Groups of individuals that differ from the majority of population in some way. Differentiating characteristics include, for instance, ethnicity, religion, health, sexual orientation, first language (mother tongue) and culture. Use note: For some minority issues, it may be useful to select additional topics such as 'Equality, inequality and social exclusion' or 'Language and linguistics'."
Social and occupational mobility,"Movement of individuals, families or groups of individuals in social and occupational status over time. The movement may be horizontal, that is, change in position within the range of same status, or vertical where individuals may move upwards or downwards in the status hierarchy. For example, labourers in declining industries may become labourers in some other industry (horizontal occupational mobility), or children in poor families may reach a higher social class than their parents (vertical inter-generational social mobility)."
Youth,"Use note: May need an additional topic, if young people are studied from a particular aspect."
Social welfare policy,"Decisions made and principles adopted at national, regional or local level concerning social welfare, its funding and provision, for instance, who is entitled to what kind of social services and benefits and why, what is their level, and who can provide the services. For example, a policy that elderly people should remain in their homes for as long as possible, a policy relating to how long people can have an unemployment benefit. Use note: For laws and regulations already implemented, use the topic 'Legislation and legal systems' as well."
Social welfare systems/structures,"Issues related to the actual provision of social welfare, who provides social welfare services in practice and to what extent, how the actual services are structured. For example, questions on how a local government has organised services for the elderly."
Specific social services: use and availability,"For example, data on the extent people use specific social services, opinions on the adequacy, accessibility and availability of specific services, and general satisfaction with them. For example, questions on what services elderly respondents have used, or use statistics on particular services."
"Community, urban and rural life","Data related to different aspects of life in the community, or in urban and rural areas. Opinions on and images of the neighbourhood, or of urban or rural areas. Services, facilities and business opportunities in the neighbourhood."
Cultural activities and participation,"Active or passive participation in any kind of cultural activities, as well as opinions and perceptions of them."
Cultural and national identity,"Data on identity formation, who people feel they are and where they feel they belong in terms of nationality, locality, social class, generation, ethnicity, religion or any other social/cultural grouping. Also covers exclusion of self or others from those groups."
"Leisure, tourism and sport","Recreation patterns, leisure time activities and hobbies. Includes sports spectatorship, competition sports, and travel for leisure. Use note: For data on exercise for keeping fit, use 'Physical fitness and exercise'."
Religion and values,"Data which addresses questions of religious behaviour, religious movements, spirituality, morality and other values."
Social behaviour and attitudes,Data on social behaviour; social interaction and networks; social responsibilities; social norms and rules; and attitudes towards these issues.
Social change,"Data on changes in the society, including attitudinal changes."
Social conditions and indicators,"Covers all aspects of the quality of life and well-being of individuals and societies, as well as people's perceptions thereof. Use note: Depending on the aspect studied, 'General health and well-being', 'Equality, inequality and social exclusion' and 'Economic conditions and indicators', etc. may be relevant as well."
Time use,Data on the amount of time spent by the population on various activities.
Agriculture and rural industry,"Data on agricultural production and all rural industries which include, for example, fisheries and forestry."
Business/industrial management and organisation,"Data on industry and business such as management, productivity, growth and decline, organisation structure, administration, investment in R&D, markets and market share."
Foreign trade,"Exchange of capital, goods, or services across international borders."
TRANSPORT AND TRAVEL,"Includes all types of goods transport as well as commuting, public transport (trains, buses, underground etc), and urban transport networks. Data on mobility habits, for example, cross-border shopping, routes and means used to access a location. Use note: For travel for leisure, use the topic 'Leisure, tourism and sport'."
OTHER,"Use if the topic is known, but not found in the list."
